Participant,Illusion_Type,Illusion_Difference,Illusion_Strength,File,Block,Trial,ISI,RT,Response,Response_Correct,Error
bsvxfugrwp,Ebbinghaus,0.09684,0.15,Ebbinghaus_0.15000_0.09684.png,A,57.0,817616.0,2.414,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.3383,1.05,Ebbinghaus_1.05000_-0.3383.png,A,58.0,820867.0,1.262,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.20566,0.75,Ebbinghaus_0.75000_0.20566.png,A,59.0,822987.0,3.007,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.3383,0.15,Ebbinghaus_0.15000_-0.3383.png,A,60.0,826973.0,0.841,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.09684,1.35,Ebbinghaus_1.35000_-0.09684.png,A,61.0,828713.0,1.036,arrowleft,arrowright,1
bsvxfugrwp,Ebbinghaus,0.5,-0.75,Ebbinghaus_-0.7500_0.50000.png,A,62.0,830699.0,0.85,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.5,0.45,Ebbinghaus_0.45000_0.50000.png,A,63.0,832300.0,0.713,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.3383,1.35,Ebbinghaus_1.35000_-0.3383.png,A,64.0,833710.0,2.122,arrowleft,arrowright,1
bsvxfugrwp,Ebbinghaus,-0.5,-1.35,Ebbinghaus_-1.3500_-0.5000.png,A,65.0,836800.0,0.699,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.09684,-1.35,Ebbinghaus_-1.3500_0.09684.png,A,66.0,838557.0,0.612,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.3383,1.05,Ebbinghaus_1.05000_0.33830.png,A,67.0,840146.0,1.139,arrowright,arrowleft,1
bsvxfugrwp,Ebbinghaus,0.20566,1.35,Ebbinghaus_1.35000_0.20566.png,A,68.0,842276.0,0.936,arrowright,arrowleft,1
bsvxfugrwp,Ebbinghaus,0.09684,-1.05,Ebbinghaus_-1.0500_0.09684.png,A,69.0,843846.0,0.825,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.09684,0.45,Ebbinghaus_0.45000_0.09684.png,A,70.0,845538.0,0.655,arrowright,arrowleft,1
bsvxfugrwp,Ebbinghaus,-0.09684,0.15,Ebbinghaus_0.15000_-0.09684.png,A,71.0,846881.0,0.691,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.3383,-1.05,Ebbinghaus_-1.0500_-0.3383.png,A,72.0,848252.0,0.654,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.20566,1.05,Ebbinghaus_1.05000_-0.20566.png,A,73.0,849660.0,0.659,arrowleft,arrowright,1
bsvxfugrwp,Ebbinghaus,-0.5,-0.75,Ebbinghaus_-0.7500_-0.5000.png,A,74.0,851015.0,0.749,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.09684,1.35,Ebbinghaus_1.35000_0.09684.png,A,75.0,852804.0,0.6,arrowright,arrowleft,1
bsvxfugrwp,Ebbinghaus,-0.09684,-1.05,Ebbinghaus_-1.0500_-0.09684.png,A,76.0,854216.0,0.275,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.20566,0.45,Ebbinghaus_0.45000_-0.20566.png,A,77.0,855350.0,1.058,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.3383,0.75,Ebbinghaus_0.75000_-0.3383.png,A,78.0,857402.0,0.904,arrowleft,arrowright,1
bsvxfugrwp,Ebbinghaus,0.20566,0.15,Ebbinghaus_0.15000_0.20566.png,A,79.0,859102.0,0.963,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.09684,0.75,Ebbinghaus_0.75000_-0.09684.png,A,80.0,860987.0,1.554,arrowleft,arrowright,1
bsvxfugrwp,VerticalHorizontal,0.20298,-13.5,VerticalHorizontal_-13.500_0.20298.png,A,1.0,883111.0,0.953,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,-0.3,-13.5,VerticalHorizontal_-13.500_-0.3000.png,A,2.0,885055.0,0.559,arrowright,arrowright,0
bsvxfugrwp,VerticalHorizontal,-0.20298,-31.5,VerticalHorizontal_-31.500_-0.20298.png,A,3.0,886426.0,0.644,arrowright,arrowright,0
bsvxfugrwp,VerticalHorizontal,0.12339,4.5,VerticalHorizontal_4.50000_0.12339.png,A,4.0,887959.0,0.635,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,0.0581,22.5,VerticalHorizontal_22.5000_0.05810.png,A,5.0,889607.0,1.16,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,-0.20298,-40.5,VerticalHorizontal_-40.500_-0.20298.png,A,6.0,891598.0,0.529,arrowright,arrowright,0
bsvxfugrwp,VerticalHorizontal,0.3,40.5,VerticalHorizontal_40.5000_0.30000.png,A,7.0,893060.0,0.591,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,0.3,13.5,VerticalHorizontal_13.5000_0.30000.png,A,8.0,894725.0,0.484,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,-0.3,22.5,VerticalHorizontal_22.5000_-0.3000.png,A,9.0,896277.0,0.424,arrowright,arrowright,0
bsvxfugrwp,VerticalHorizontal,0.3,31.5,VerticalHorizontal_31.5000_0.30000.png,A,10.0,897805.0,0.647,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,-0.0581,13.5,VerticalHorizontal_13.5000_-0.0581.png,A,11.0,899402.0,0.831,arrowright,arrowright,0
bsvxfugrwp,VerticalHorizontal,-0.3,40.5,VerticalHorizontal_40.5000_-0.3000.png,A,12.0,900969.0,0.422,arrowright,arrowright,0
bsvxfugrwp,VerticalHorizontal,-0.20298,40.5,VerticalHorizontal_40.5000_-0.20298.png,A,13.0,902432.0,1.16,arrowright,arrowright,0
bsvxfugrwp,VerticalHorizontal,0.0581,13.5,VerticalHorizontal_13.5000_0.05810.png,A,14.0,904519.0,1.439,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,0.12339,40.5,VerticalHorizontal_40.5000_0.12339.png,A,15.0,906799.0,1.402,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,0.12339,-31.5,VerticalHorizontal_-31.500_0.12339.png,A,16.0,909179.0,1.497,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,0.12339,-22.5,VerticalHorizontal_-22.500_0.12339.png,A,17.0,911785.0,1.458,arrowleft,arrowleft,0
bsvxfugrwp,VerticalHorizontal,-0.12339,-40.5,VerticalHorizontal_-40.500_-0.12339.png,A,18.0,914092.0,1.491,arrowright,arrowright,0
